ZCCHC8,RTP4,
OTULIN,ABHD14B,
S100PBP,HNRNPA0,
RBM33,SERPINB9P1,
CCDC3,AP5M1,
GMPR,POLL,
KDM7A-DT,ARHGEF6,
FMN1,SBNO2,
SAPCD2,ZNF414,
COL15A1,RHBDD3,
ITGA5,C3orf38,
TOR1B,MT1L,
EFNB2,CFLAR,
SLC16A2,ELP6,
XYLB,LOC100240735,
DOCK6,ZBTB49,
ZNF767P,DGKZ,
CKAP2L,NEURL2,
SCAF4,MOSPD2,
RNASE2,TMUB2,
XAF1,PLEKHG3,
PPBP,MED29,
HSPA7,PABPC3,
MIR639,FAM114A2,
MDK,MCL1,
RPS16,DOCK9,
ANPEP,NADK,
TFCP2L1,CTSO,
WDR91,PANK3,
SFRP1,SLC20A2,
LRPPRC,PFKP,
FBP1,LMAN2,
SHISA3,SFRP5,
TBC1D24,MOV10,
SGPL1,C12orf43,
KRTAP12-3,FOXN3,
ZNF276,REX1BD,
IL1A,REXO4,
TLL1,CYRIB,
PRAF2,GNS,
ALCAM,TCEAL8,
EXOSC10,CBX3P2,
ALG1L1P,CSK,
SRSF10,AP3B2,
ATG16L2,ENPP2,
ZSWIM8,DDX59,
PDLIM1,HEIH,
PLPP4,FRAT1,
RBM15,PLEKHO1,
VDAC2,RNF166,
HEXA,LASP1,
MRGPRF,RPL19,
LCP1,THEMIS2,
CSMD3,HPCAL1,
COPG2IT1,SZRD1,
ZNF331,METTL18,
SDHA,WDR82,
CNN1,ABHD17B,
GPR155,KBTBD7,
MDM2,NAAA,
AKNAD1,MPND,
ANO4,PSKH1,
LCMT2,CCDC71,
GUSBP4,EEF1D,
SERPINB2,C5orf63,
ID3,EIF4EBP2,
SEC14L1P1,RNASEH2B,
TCF7L1,PSPC1,
POGZ,TMEM175,
B3GNT9,FEM1B,
COX7A1,TSPAN4,
PTPN18,WDR18,
LSR,SPCS1,
RARRES2,RBM39,
PTGES2,ILVBL,
MTMR12,GMFB,
BAG6,BIN2,
CCN4,CSNK1G3,
XPC,ARHGAP27,
CREBBP,KLKP1,
TGFBRAP1,MLANA,
S100A1,C16orf54,
OR2T34,PREX1,
ADGRL4,KIAA1143,
COIL,LRRTM4,
COLQ,IFI44L,
ADIRF,SIGLEC17P,
THBS1,GGA3,
ADAMTS5,C4orf33,
TXNDC17,LOC730183,
NELFB,TRIR,
MLXIPL,ZBTB6,
TXNDC9,SEMA4A,
LUM,MGAT4A,
CYYR1,WHRN,
TFPI,NIPA1,
MED10,CRBN,
CXCL5,SRFBP1,
TEKT5,NOTUM,
SCN2A,RHOH,
WNT5A,ACP7,
PLIN2,PAXX,
COL5A2,TOMM40L,
PPP1R37,NAPRT,
PGBD5,TMEM163,
DIXDC1,CNTLN,
TIAM2,RTRAF,
TRAF1,STAT5A,
NXF1,ACTN1,
SELE,RPL23P8,
FBXO36,NUBP1,
TMEM200A,PIEZO2,
VCAN,POLR2K,
RANBP10,ANO1,
BRD3OS,TMEM229B,
ALDH1A2,IL27,
SERPINB1,DYNLT1,
UBN1,ATP8B4,
RCBTB2,DOP1A,
CANX,C11orf58,
NSUN2,MNX1,
AOPEP,FNBP1,
SFI1,UBAC2,
KANK3,VCPIP1,
CAMK2N2,PPP3CB,
ALPK1,RTN3,
CD79A,CCDC97,
POU3F2,LY75,
C5orf46,SP5,
CORIN,APBA2,
EDN1,RPS6KB2,
NBPF14,MRPS7,
TAAR9,ZNF14,
ZBTB46,KLHL9,
GHITM,PRDM11,
PTP4A2,PHPT1,
GNA12,MFNG,
PARP9,LINC00892,
DERA,NCOA5,
CCNI,PSMB4,
HBA2,ECSIT,
SNORA61,SIPA1,
IMMP2L,C19orf25,
NBEAL2,CELSR1,
KREMEN1,CTNNA2,
N4BP3,NTMT2,
TACR2,TMCO6,
SLC45A3,SLC25A45,
GPC1-AS1,SH2D1B,
NECAB3,LEFTY2,
CSRP2,AAR2,
SH3GL1,GPALPP1,
LILRB5,URM1,
ARIH1,EED,
CMTR1,MAP2K7,
TLR5,ELMO2,
ADGRL2,CDPF1,
FAN1,TCF12,
