,SEC61G,
,CAST,
,LMNB1,
,CBFB,
,CRLF1,
,HEXIM2,
,PGAP6,
,SESN3,
,DNTTIP2,
,NR1H2,
,ADGRE5,
,UQCRC1,
,NFE2L3,
,GAK,
,SPSB1,
,GNA15,
,DDA1,
,TMED5,
,TUBG1,
,NSUN3,
,GTF3C6,
,CEP68,
,GNPTG,
,POLDIP2,
,VANGL1,
,NFYC,
,MGRN1,
,APOBR,
,UBXN6,
,POLR3K,
,TMEM222,
,SLC35A2,
,HSPBP1,
,PEX5L,
,NFAM1,
,MCCC2,
,NMI,
,PAFAH2,
,SRSF9,
,MTMR14,
,DMXL2,
,BCKDK,
,SPRYD3,
,TSPAN33,
,RNASEK-C17orf49,
,RBM19,
,XAB2,
,NKIRAS2,
,IQCD,
,ATP6V0C,
,KATNB1,
,MFSD11,
,SZRD1,
,RB1,
,PNPO,
,SPG21,
,WDR1,
,POC1A,
,EPN1,
,PIM3,
,SUPT4H1,
,EIF1,
,SCAF1,
,MTHFD2,
,NQO1,
,RPS6KB1,
,CCDC124,
,SDC3,
,GIMAP2,
,SIRPB1,
,LAP3,
,SERPINB1,
,CTTNBP2NL,
,YIF1B,
,SCCPDH,
,MID1IP1,
,ERP44,
,MPND,
,PRMT1,
,ZNF787,
,CFL1,
,MFNG,
,COPB2,
,PSAP,
,NPLOC4,
,ADAMTS10,
,ABHD12B,
,SP2,
,DHX8,
,ARMCX4,
,FAM222B,
,TWF2,
,PDIA3P1,
,PRMT6,
,CERS2,
,CNDP2,
,ARMT1,
,PTOV1,
,CENPW,
,CCDC106,
,CCDC9,
,TMEM106A,
,ASCC3,
,BMP2K,
,SHTN1,
,TNIP1,
,UBE2D1,
,SPRED3,
,RPA2,
,HIVEP3,
,PPP2CA,
,ARHGEF2,
,KIF6,
,TLR2,
,SUPT5H,
,KLHL2,
,CPNE2,
,SUZ12,
,RPS19BP1,
,EGR1,
,FCRL1,
,HPRT1,
,UTP3,
,RNF43,
,TADA3,
,EBI3,
,MIR548AX,
,SIPA1L1,
,DHRS13,
,TWIST1,
,USP4,
,SNF8,
,VPS18,
,WIPF1,
,THBD,
,SAMD13,
,SARAF,
,ABCC1,
,NUP85,
,USP8,
,ELOF1,
,GTF2F1,
,TLK2,
,SEC22B,
,PDSS2,
,HERC3,
,APEH,
,CRYZ,
,RDH5,
,C3orf38,
,AIFM2,
,GABPB1,
,CTSH,
,CYTIP,
,GAA,
,WDR24,
,MESD,
,AKIRIN1,
,SCPEP1,
,CHAF1A,
,LINC01013,
,DCSTAMP,
,AP3D1,
,VTI1A,
,SELENON,
,SHISA5,
,NF2,
,NCAPH,
,ETV4,
,PIAS1,
,ADCY1,
,CUL1,
,LRRK2,
,HNRNPD,
,CENPM,
,HLA-C,
,HPS6,
,FAM167B,
,TNRC18,
,VOPP1,
,MFAP1,
,DDX24,
,ARAF,
,HMGN2,
,NHSL1,
,SIPA1L2,
,BZW1,
,PTPN22,
,SDHB,
,RELA,
,MTMR9,
,YRDC,
,MMRN1,
,ING1,
,TMEM167A,
,BAZ1B,
,FBXW5,
,CIAO2A,
,S100A11,
,NUP54,
,PRORP,
,CHCHD2,
,GALE,
,SLC30A1,
,PSMB8,
,REXO1,
,RNF123,
,CLPP,
,CELSR1,
,CCNA2,
,CCND3,
,PSME2,
,HSD17B11,
,CHMP6,
,SERINC1,
,IGFBP2,
,ZNF444,
,SRXN1,
,GRIPAP1,
,ZBTB17,
,ETF1,
,MRC1,
,SDCCAG8,
,TM6SF1,
,HMGB2,
,GOLGA5,
,CCZ1,
,TIMM29,
,GARS1,
,RGS16,
,MCAT,
,SYK,
,MTREX,
,SAMD15,
,CHIT1,
,TNFRSF10B,
,NCK1,
,DBI,
,ELOA,
,CDC6,
,TERF2IP,
,C1orf50,
,MED28,
,CDC42SE2,
,PCTP,
,CCDC25,
,PELO,
,TUBA1B,
,IDH1,
,LEO1,
,MON1B,
,NCAPG2,
,CCDC71,
,RPGR,
,MIAT,
,TRIM8,
,RPN2,
,MAP3K11,
,PHAF1,
,CWC27,
,LRCH4,
,IKBKG,
,ATPAF2,
,NCF1,
,OSBPL3,
,KBTBD2,
,RALY,
,HNRNPA2B1,
,BCL3,
,DSE,
,GTF3C1,
,AAGAB,
,HUS1,
,CSPG4,
,UGGT2,
,TMEM104,
,ZC3H4,
,GRWD1,
,CCDC71L,
,RUVBL2,
,FKBP9P1,
,MAFK,
,LINC00312,
,CDC34,
,LOXL4,
,PICALM,
,PSMC5,
,NR0B1,
,B2M,
,TIGD4,
,FLVCR2,
,UBE2J2,
,TPI1,
,PPID,
,ENTPD7,
,WDR45B,
,AFAP1L2,
,BHLHE40-AS1,
,IGSF8,
,EXOC6B,
,TRAF7,
,SMIM3,
,CFAP20DC,
,SMG8,
,KMO,
,BBS12,
,NUDT9,
,MAGEA3,
,PNPLA8,
,SYNGR2,
,RBM24,
,RNPS1,
,GPN3,
,TMCO1,
,NFE2L1,
,RCC1L,
,HELLS,
,TMEM62,
,TIPIN,
,BLTP3B,
,PISD,
,LMNB2,
,ABCC2,
,FOXK2,
,NCLN,
,ITFG1,
,IFNAR2,
,TM9SF2,
,PML,
,PNKD,
,MOB1A,
,PPP2R2A,
,STXBP3,
,PGK1,
,CD2BP2,
,CLSPN,
,DHX58,
,RNF144A,
,MTUS1,
,SCN4B,
,SEC24D,
,TRPM8,
,SCARNA9,
,HAUS8,
,NUBP2,
,BCAT2,
,PPP2R1A,
,CBLN4,
,ANAPC10,
,POLR2B,
,PDLIM5,
,DSEL,
,C19orf38,
,CEACAM4,
,TMED9,
,ZNF670,
,CCNB2,
,GBP2,
