LOC440910,KCTD13,TP53
RPUSD2,GOLT1B,DTX2
PALMD,DHRS3,LEPR
SLC22A18AS,NUP54,TMEM121
LPCAT3,SCARNA16,ANG
TOX,PIGL,ZSWIM1
ZNF250,MIOS,PRKCSH
P4HB,SENP5,CCBE1
INPP5K,PLEKHM1P1,IL10RB
EPC1,TBC1D10A,ANGEL1
PCNX3,USP12,LLPH
ZCCHC12,HIVEP3,CAPN15
YDJC,CDRT15P1,HELB
SRP9,SEC61A1,CCL3
SP2,PTPN12,XPO6
RSPO3,ZNF212,DIABLO
PCSK7,TPM3,CLBA1
TBCD,CAP1,MPG
COCH,DYNC2I1,IKBKG
WLS,INPP5F,WDR83OS
LCMT2,SMG7,RPUSD1
SPANXN3,SNORA48,WDR1
SASH3,LMBR1L,SLC25A12
IP6K1,BRAF,TANK
MED24,PLAT,PLRG1
CNN1,PITX1-AS1,OCIAD1
UROD,DEGS1,MGAT4B
FCHO1,ZNF654,ATP6V0D1
SNPH,ORC5,
PRAF2,PIGB,
VPS26B,NDFIP2,
POMGNT2,PRR22,
PKN3,KCNAB3,
ARMC7,ZNF133,
PGAP1,TGDS,
ADAMTS2,KBTBD6,
STX8,DDX60L,
AP5S1,RBM28,
PDGFC,DDIT3,
ZNF805,ZNF207,
EGR2,VPS9D1,
TACO1,MICAL3,
SWI5,SRRT,
PEPD,BID,
PTPN23,AGFG1,
CCNJL,DHX38,
MTMR12,N4BP2L2,
SPSB2,DHX34,
NDUFAF3,VAX2,
FAR2P1,ZNF789,
MRPL40,FBP1,
NAT8L,PABIR2,
PI16,MTFMT,
BCDIN3D,KIAA1755,
PRAC1,DPY19L1P1,
PCDH11Y,GCC1,
SETDB1,CGGBP1,
CTTNBP2NL,RNF19B,
CMTR2,RHOT1,
CAND2,DNAJB14,
NRTN,LIMK2,
TM9SF1,ZNF319,
PLXND1,SNHG4,
JAGN1,MAP10,
NDNF,EXOG,
DOLK,NOMO1,
PXMP2,VPS8,
DPM3,CBLL1,
DNM3,C1orf74,
PLCD1,SNORA46,
DNAJC21,TRPC4AP,
KHNYN,PARP11,
MCRS1,GCN1,
TRIM35,AK2,
CAMK1,NAGPA,
KANK4,AGAP6,
PLXDC2,PHF23,
CHRNB4,JARID2,
SLC35C1,LIN54,
VPS39,CASP2,
ZRANB2,ADGRG1,
MARCHF7,HMGCL,
PHLDA2,MKLN1,
TTYH3,OPHN1,
ITPKA,HOXD4,
RPL10,UBQLN4,
PLPP7,GTF2F2,
KLHL26,CDK8,
DNLZ,BAZ1B,
PPAT,SAP30BP,
TMEM47,SAMD13,
NDUFB11,RNF6,
TP53I3,ORAI2,
RET,ZC3H7A,
TATDN2,UNC119,
RMDN3,NPEPPS,
LILRB3,NAMPT,
FANCG,LINS1,
ZNF14,STX18,
SLC25A6,MAP3K11,
COA3,BTBD19,
SLC25A38,GPALPP1,
ALOX15B,GMPS,
ABCC3,RNF213-AS1,
NDUFV3,RHBDF2,
NSUN2,COG5,
LDAF1,GLI1,
ARFGAP3,SNORD12B,
INA,DCAF16,
COPZ2,TAB3,
GMCL1,PPCDC,
SCOC,WTAP,
TRAM1,ANKRD61,
MED11,CCAR2,
MRPL41,SP140L,
PRSS42P,ZNF700,
FLRT2,SUGP2,
CHMP4A,RBM19,
ASB16-AS1,POLR1B,
ATP5F1B,CIAO1,
DNAJB9,AKAP8L,
MRM1,DDHD1,
SLC37A1,VARS1,
ZYG11B,CKLF,
RDM1,RNF213,
POLR2L,SNORD59A,
LMAN2,FIP1L1,
ABCD1,MALSU1,
PSME1,MORF4L2,
ZNF684,DDX56,
VBP1,MCOLN2,
ENDOG,NPEPL1,
RBM15B,ELL,
PCDH9,PRPF39,
CEBPZ,RGL2,
ARHGEF10L,CD226,
HAUS8,CCDC126,
MPI,PNPLA8,
WDR25,HOXC11,
STAT5B,PPP1R18,
GRN,ZBTB48,
HELQ,CRTC2,
PNPO,RPTOR,
ZNF300P1,GTPBP1,
H2AC20,GSR,
XPNPEP2,MIR3176,
GLRX3,EPAS1,
PFDN5,GPATCH8,
ARHGEF38,JAZF1,
MANBAL,ARMC8,
RPL29,EMP3,
NPR3,GLYR1,
FBXW5,SMARCC2,
ZNF286B,LPCAT2,
PEX11G,GARS1,
BATF,FCHSD1,
DPT,TMEM164,
SELENOM,TRIM4,
IL17RC,PRR7-AS1,
LTBP2,P3H4,
ZNG1B,SAP18,
ATG4D,HOXB7,
TRIL,LDLRAD4,
OTP,PRDM4,
PORCN,RBM22,
STOML1,STX6,
MIEN1,DLEU1,
TLNRD1,PALB2,
MFAP5,PANK2,
NLRX1,ZNF195,
CLUH,HARS1,
ZNF614,LEMD2,
COX6A1,STEAP1B,
CLRN1,SART3,
ZNF430,SNORD21,
EVI5L,NDE1,
IQCG,ZNF500,
ANKLE1,SENP3-EIF4A1,
SERP2,GPD2,
NSMCE3,KDM6B,
RAD1,TMEM106B,
PDE1B,CMTR1,
LGALS2,RBM48,
DPEP2,OBI1,
CLEC11A,MIR590,
GATD3,HUS1,
AFMID,LAMTOR3,
SEMA3E,PISD,
SMYD4,FAM111A,
COPS5,MIDN,
ZNF248,PLAGL2,
ZNF271P,KCNH8,
TMEM120A,CMTM1,
CD300A,SH2B2,
SLC38A10,ZNF267,
TIRAP,TRIM24,
MRM3,ZNF92,
CRIM1,UBR7,
PEMT,MICB,
DDX1,HIF1A,
GAGE2B,APOBEC3C,
REG1A,FBXW7,
COPE,HAUS3,
TK1,CD27-AS1,
FOXM1,SGCA,
TCIM,USP3,
NDUFA11,VPS50,
ODAD2,LRIF1,
HROB,ATP6V1B1,
NAP1L1,OGT,
IFI27L1,POLR3K,
CD300LF,PELP1,
GFPT1,ANKRD13D,
LINGO1,DPF1,
