DAB2IP,LINC00494,
SMARCC2,NCF1,
TOE1,CCDC18,
TMEM114,TMEM273,
CDS2,SEL1L3,
RUSC1,CUTALP,
IRGQ,SENP7,
SPATA31A3,RPS6KA1,
RNASE2CP,MTMR1,
PTPRO,SOCS1,
DDB1,FBRS,
RAB2B,MKNK2,
SRARP,TRIM22,
MAP2K5,POLD4,
SMIM29,FRAT1,
GDI1,LBR,
FAM53B,KLHL6,
NOL6,ZNF821,
FXR2,GGA2,
LINC01096,TMEM243,
OR7E85BP,P2RY14,
H1-2,LINC02591,
MCM3,QRSL1,
JPH4,IL10RA,
ZC3H7B,RAMP3,
SLC19A2,CARINH,
DOK5,NFATC1,
GNAQ,PLEKHA2,
CCR5,PPP1R9B,
DANCR,RBM15,
ZNF74,GTSF1L,
TLK2,MADCAM1,
XBP1,CD7,
SPTAN1,DEF8,
LRPPRC,FBXO46,
ALAD,GPBP1,
TMEM132A,MSL2,
MFAP2,MALT1,
PBX1,PITPNM1,
MTOR,ZNF253,
DPM2,CENPC,
TAF13,GAB3,
OR2A9P,IRAK4,
VAMP3,MIOS,
QSOX1,MBNL1,
CSTF3-DT,ZNF230,
POMC,KIF2A,
CFDP1,TIMD4,
TCF20,CLDN16,
PCDH9,CDK9,
ZER1,PHYKPL,
CTF1,CEP120,
NFE2L1,ANKRD33B,
TSPYL6,TOX,
MVB12B,SETX,
ZC3H10,GIMAP4,
SNTA1,ABI3,
PLCG1,SP140L,
WNK2,ATAD2B,
PLEKHM1,COX19,
FAM215A,BICDL1,
ENTREP1,ZNF92,
TBCD,NECAP2,
VANGL2,ZNF75D,
PHC1,CNOT8,
LMO3,NOSIP,
ZDHHC9,CTCF,
MS4A4A,RSBN1,
RRAGA,ANKRD29,
NECAB3,CFLAR,
UBAC1,SEMA4A,
DPRX,ZNF143,
PTAR1,ZNF430,
DDX31,KDM4C,
LRP10,CDX1,
NRAS,CNN2,
SYT13,TRIM38,
WDR81,MTERF4,
COPG2IT1,LINC00892,
NAA35,ANAPC16,
JPH2,DNASE1L3,
UGGT1,ZFAND4,
GYG2P1,UBTF,
EFL1,ACSF3,
DCLRE1B,PSMB8-AS1,
MORN5,PRDM2,
POPDC3,SLC22A3,
TPTEP1,REST,
MIRLET7F1,CD53,
FAHD2CP,LSM6,
TOR1A,VAMP1,
SUCLG1,ZNF136,
PARD3B,USP30-AS1,
CD99P1,APOBEC3D,
AFAP1L2,SYNE1,
POLG,IL23A,
TTTY20,ARID4A,
AJUBA,ADRA2A,
COQ7,ACY3,
DGCR11,SLC25A53,
EPHB3,TCF3,
NEIL2,FGD6,
FOSL2,COL4A4,
ATOH7,NFYB,
MAPRE3,ZNF44,
EPHA8,SLC25A25-AS1,
CDC42EP1,EMBP1,
MAPKBP1,KDM2B,
CDH23,ZNF551,
PKM,USPL1,
SPATA31H1,RNF166,
SLC9A3,PNRC2,
FRZB,POC5,
SH2D4A,ARID4B,
RFC5,VHL,
DAP,TACC3,
HAVCR2,HMGN1,
RNASE4,GRB2,
ARHGEF25,ZBTB1,
SEPTIN3,TRAPPC2,
TDH-AS1,HNRNPH1,
TMEM14C,TANK,
METTL26,CTRL,
EPB41L4A,PSME3IP1,
LINC02901,IST1,
FAM86C1P,FAM110A,
CHRNA1,ZNF791,
ST6GALNAC6,SLC12A6,
MIR100HG,SYT15,
MDK,ANO9,
ACVR1B,EML4,
H2BC4,PPP6R1,
LDHD,USF1,
ZBTB20,CEP135,
LOC284412,CTBP1,
ATP1A1-AS1,ZNF211,
TMEM88,TTC7A,
SLC29A1,MATN1-AS1,
TMBIM1,CHTF8,
LIF,RSBN1L,
OR56B1,SH3BP2,
CSDE1,LYSMD2,
HINT2,RINL,
SLC25A51,SCAF11,
RTL6,MCOLN2,
PRAF2,LAT,
USP33,HNRNPL,
TFF3,MEF2C,
