NFE2L1,DPY19L4,
TACO1,ADI1,
BRD8,PTPN9,
GLIPR1L1,ZNF221,
PDZK1P1,TTC38,
GGTLC1,CHRNE,
PAIP1,MIR1286,
NAPEPLD,LOC100129034,
BBLN,SNORD65,
LAMTOR2,ZNF571,
SCML2,CCP110,
SPON2,F8,
TATDN3,SLC39A6,
PTBP2,ZNF615,
HPS5,NLGN1,
C8orf58,PDCD6IPP2,
LIPT1,PGM2L1,
SLC36A1,SMIM10L2A,
PRSS59P,NRCAM,
ZNF146,MAP3K15,
HNRNPU,CIT,
ZNF767P,PHAX,
LDAF1,DGUOK,
ABHD6,LINC00882,
GSTZ1,STAP2,
VIRMA,TPD52,
NCKAP5,BUD31,
EHD4,RDX,
DBNDD1,PJA2,
CYREN,NOCT,
FBXL15,LMBRD2,
TAF1L,LEF1,
ALG1L1P,TMEM161B,
COPB1,ESR1,
TUB,CLN3,
CDK5,SNAI3-AS1,
DARS1,PLK2,
NUDT1,ZNF746,
PPFIBP2,PANK3,
SURF1,ATG4C,
MED14,SMIM14,
AKR1B1,GREB1L,
RPA3,ENTPD5,
SDHAF3,PRDX1,
CHCHD1,PIGT,
ZNF417,CFDP1,
TRAM1,RAB11B-AS1,
GPAM,PCBP2,
RGP1,NUP54,
FBXW5,LINC00520,
APOM,GPC6,
TMEM141,NXPH4,
RUSC1,TAP2,
TMPRSS9,SH3BP2,
HP1BP3,CNIH4,
NAV2,SRGAP3,
WDR43,AGMO,
CDS2,AVPI1,
ELP2,PPP2R1B,
ARHGEF35,RERG,
DNAAF9,MIF4GD-DT,
UBXN4,MCC,
PIP4P2,PFKFB1,
SLC25A38,THRB,
ARHGAP20,FAM86HP,
GSE1,ITGA9,
RRP9,SPATA18,
UTP25,MCF2L2,
PRG1,CREM,
POC1B,GPR161,
CPNE3,ASIC3,
PRUNE2,ERICH3,
SSR1,C2,
MFSD14A,DEFB131B,
ECM1,PPFIA3,
CLNS1A,PTK7,
MACROD2,RAB40A,
RSBN1,B4GALT6,
TMEM203,HSDL2,
GNAI1,KALRN,
DNAJB12,LINC00858,
EIF3E,SLC35D1,
AP5S1,MIR626,
CAMKMT,IER3IP1,
TRIM61,SOX4,
PNISR,SORCS2,
RNF10,LYPLAL1-DT,
FAM72B,MAN2A2,
MTR,STYX,
DMRT2,DNAJC9,
C7orf50,DUSP15,
ZNF189,HMGCLL1,
DUSP3,APBA1,
GGT5,SELENOT,
LRRC8A,LMBR1L,
EFNA4,BSDC1,
CDK13,VPS13D,
SEH1L,SEC11C,
ANKAR,SSBP1,
TFF3,TSFM,
SGCD,NR5A2,
MIR22HG,VESTAR,
LILRB3,C2CD6,
FER1L6,STRAP,
OPRL1,ZNF410,
TBC1D2,PTGES3,
BABAM1,CES2,
RCE1,SMARCD3,
TUBGCP2,BCKDHA,
EYA1,DCHS1,
VBP1,MGAT4B,
ZNF7,PXMP4,
