MMP19	UniProtKB:Q99542	Matrix metalloproteinase-19
PRKD2	UniProtKB:Q9BZL6	Serine/threonine-protein kinase D2
FGFR2	UniProtKB:P21802	Fibroblast growth factor receptor 2
SETD2	UniProtKB:Q9BYW2	Histone-lysine N-methyltransferase SETD2
THBS1	UniProtKB:P07996	Thrombospondin-1
NPR3	UniProtKB:P17342	Atrial natriuretic peptide receptor 3
ATP5IF1	UniProtKB:Q9UII2	ATPase inhibitor, mitochondrial
TSPAN12	UniProtKB:O95859	Tetraspanin-12
PDCD6	UniProtKB:O75340	Programmed cell death protein 6
CCL2	UniProtKB:P13500	C-C motif chemokine 2
GATA2	UniProtKB:P23769	Endothelial transcription factor GATA-2
TAL1	UniProtKB:P17542	T-cell acute lymphocytic leukemia protein 1
RBPJ	UniProtKB:Q06330	Recombining binding protein suppressor of hairless
HMOX1	UniProtKB:P09601	Heme oxygenase 1
MEIS3P2	UniProtKB:A8K0S8	Putative homeobox protein Meis3-like 2
NAXE	UniProtKB:Q8NCW5	NAD(P)H-hydrate epimerase
ZC3H12A	UniProtKB:Q5D1E8	Endoribonuclease ZC3H12A
AMOTL2	UniProtKB:Q9Y2J4	Angiomotin-like protein 2
