PPP3CB,,
RTN3,,
CCDC97,,
LY75,,
SP5,,
APBA2,,
RPS6KB2,,
MRPS7,,
ZNF14,,
PRDM11,,
PHPT1,,
MFNG,,
LINC00892,,
NCOA5,,
PSMB4,,
ECSIT,,
SIPA1,,
C19orf25,,
CELSR1,,
CTNNA2,,
NTMT2,,
TMCO6,,
SLC25A45,,
SH2D1B,,
LEFTY2,,
AAR2,,
GPALPP1,,
URM1,,
EED,,
MAP2K7,,
ELMO2,,
CDPF1,,
TCF12,,
UQCR10,,
SCO1,,
AGPAT2,,
LOC554206,,
TRABD,,
INO80E,,
ZBTB42,,
HCG26,,
ARAP1,,
UCK1,,
AK2,,
WNK4,,
TCN2,,
RBCK1,,
EDF1,,
CHMP6,,
CHRM1,,
H2AC25,,
CLPP,,
RAB5C,,
ELP5,,
CLN8,,
DENND1C,,
VSIG4,,
ZNF740,,
SIGMAR1,,
CYBC1,,
BACH2,,
SELPLG,,
PDE6B,,
MMP9,,
RBPJ,,
DAB2IP,,
OTUD6B,,
LILRA3,,
TMEM230,,
TNIP2,,
TNFRSF10B,,
OMA1,,
ETS1,,
YJU2,,
STRN4,,
STX18,,
RBM23,,
PMPCA,,
RAB14,,
CHCHD1,,
STOM,,
BMPR2,,
DGKQ,,
CDK9,,
AIMP1,,
ZNF737,,
SERPING1,,
CCNG2,,
MAF1,,
GPATCH3,,
SIGLEC16,,
SNORD8,,
RPL12,,
SLC35A4,,
NT5C,,
YY1,,
EIF4E3,,
WFDC11,,
TRIM52-AS1,,
ZDHHC12,,
MPEG1,,
TMEM128,,
BDH2,,
ZNF141,,
COX18,,
NSA2,,
USP38,,
ANKRD46,,
MAZ,,
RPS6KA4,,
SLC7A6OS,,
CLDN11,,
CHN1,,
ECE1,,
SPAG1,,
MRPL20-AS1,,
RSBN1L,,
MPZ,,
CST3,,
IFIH1,,
RPL36,,
FBXO31,,
SFMBT2,,
KCNN4,,
TPGS1,,
GPR15,,
SLFN13,,
ZNF776,,
NEXN,,
HNRNPK,,
ITGB2,,
DPP7,,
ZNFX1,,
IL11RA,,
RPL29,,
SWT1,,
MED26,,
GSG1L,,
ING3,,
CUTC,,
CTSB,,
PSMC6,,
ABCD4,,
ABHD2,,
BTN3A2,,
CARNMT1,,
FAH,,
SH3BP2,,
ZNF490,,
ARHGAP45,,
ADAR,,
BCL11B,,
METTL23,,
TNFRSF14,,
CCDC50,,
PAPOLA,,
ATP6V0D2,,
ARID4A,,
TRMO,,
SLC2A9,,
USP21,,
VSIG10,,
SLC7A11,,
ADCY2,,
LOC283788,,
NIPSNAP3A,,
LINC00499,,
KPNA5,,
PSMB8-AS1,,
KRTAP22-2,,
RPL37,,
BRMS1,,
PPP2R3C,,
MRPL10,,
ZNF43,,
TINCR,,
EIF2D,,
ZBTB45,,
ING4,,
APBA3,,
RACK1,,
ANKRD50,,
ACTR6,,
CYREN,,
TMEM170A,,
PYURF,,
TMEM44,,
RPS27,,
MIR503HG,,
RPS14,,
PPP4R3A,,
CSTF2T,,
GATC,,
CD109,,
ATP5F1D,,
SRBD1,,
PGGHG,,
ZNF571,,
RPL30,,
RC3H2,,
ASPHD2,,
PTRHD1,,
TEFM,,
MAP3K3,,
CCDC69,,
ANAPC2,,
PSMD10,,
KDM7A,,
ENTR1,,
RPL13A,,
PDHB,,
GOSR2,,
ST7,,
DPM3,,
LINC02981,,
NAT9,,
BLCAP,,
BEAN1,,
UBE2D1,,
SLC46A1,,
OAS1,,
PRMT7,,
DOHH,,
TMEM129,,
HIGD2A,,
CD81,,
