GDF9,CCM2L,ALYREF,,FERD3L,,CCL8,,,,,,,,,,,,,,,,,,,,,,
CPS1-IT1,SELENOO,IL1RAP,,ZNF668,,PSMC2,,,,,,,,,,,,,,,,,,,,,,
TAS2R9,APOOL,RBM42,,NCBP1,,MIR3945HG,,,,,,,,,,,,,,,,,,,,,,
LINC03103,ANKRD19P,SMG9,,NDNF,,CCND3,,,,,,,,,,,,,,,,,,,,,,
LINC01095,ZNF407-AS1,PRPF31,,CTSA,,OSBPL3,,,,,,,,,,,,,,,,,,,,,,
TMEM105,ITPKB,STPG1,,GPCPD1,,SERINC1,,,,,,,,,,,,,,,,,,,,,,
SLCO1B3,FGF23,ZC2HC1C,,TRIM26,,STX11,,,,,,,,,,,,,,,,,,,,,,
PSG11,MIR1224,BAG3,,FPGT,,PIGG,,,,,,,,,,,,,,,,,,,,,,
EEF1A1P13,AIG1,DUSP6,,FHOD3,,CFAP20,,,,,,,,,,,,,,,,,,,,,,
ESX1,SIGLEC14,BHLHE40,,DRD5,,ACLY,,,,,,,,,,,,,,,,,,,,,,
CENPVL1,MZF1,CHMP2A,,RIPK3,,NR1H2,,,,,,,,,,,,,,,,,,,,,,
CENPVL2,ARHGAP45,CDK5,,OIT3,,SRSF9,,,,,,,,,,,,,,,,,,,,,,
ST7-OT4,IQSEC2,DCLRE1B,,HSPB7,,ARSB,,,,,,,,,,,,,,,,,,,,,,
OSTCP1,ZNF362,SLC2A1,,CCDC85A,,EIF4E,,,,,,,,,,,,,,,,,,,,,,
SLC6A18,PLD3,TFDP3,,NTRK2,,CIAO2A,,,,,,,,,,,,,,,,,,,,,,
IGLVIVOR22-1,S1PR1,TNFRSF11A,,CCDC88B,,HUS1,,,,,,,,,,,,,,,,,,,,,,
CFTR-AS1,MIR24-2,AP2S1,,GIPC2,,SLC30A7,,,,,,,,,,,,,,,,,,,,,,
LINP1,SUSD6,CTBP1,,RFXANK,,STARD3NL,,,,,,,,,,,,,,,,,,,,,,
ACTG1P17,SYT16,PACSIN2,,GNMT,,STXBP3,,,,,,,,,,,,,,,,,,,,,,
SH3GL1P1,NUP133,TMEM199,,GIMAP7,,SDC3,,,,,,,,,,,,,,,,,,,,,,
LINC01583,JAM2,ARHGEF3,,RNF149,,HSD17B11,,,,,,,,,,,,,,,,,,,,,,
SNORA71B,SMAD4,CCNK,,SCD,,CDC27,,,,,,,,,,,,,,,,,,,,,,
LAPTM4A,RBM45,PPP4C,,NAGK,,PSMD12,,,,,,,,,,,,,,,,,,,,,,
SLC7A13,ZNF644,DNASE2B,,KDM8,,RELA,,,,,,,,,,,,,,,,,,,,,,
HCN4,ZZZ3,PPP1R9B,,PCDHB6,,MFAP1,,,,,,,,,,,,,,,,,,,,,,
LINC00880,TMC8,BUD23,,MRTFB,,TMEM106A,,,,,,,,,,,,,,,,,,,,,,
